pdb_id,engine,native_ligand_file,native_ligand_pdbqt,receptor_pdbqt,redocked_pose_file,redocking_score,rmsd_angstrom,redocking_success,status,failure_reason,command
4QTA,unidock,data/processed/receptors/MAPK1/4qta/native_ligand.pdb,data/processed/receptors/MAPK1/4qta/native_ligand.pdbqt,data/processed/receptors/MAPK1/4qta/receptor.pdbqt,runs/mapk1_lit_pcba_full/poses/native_redocking/4qta/native_redocked.pdbqt,-13.421,0.3459044797207872,True,complete,,/home/dimit/eva/Computational-Chemistry/docking_project/.micromamba/envs/unidock_env/bin/unidock --receptor data/processed/receptors/MAPK1/4qta/receptor.pdbqt --ligand data/processed/receptors/MAPK1/4qta/native_ligand.pdbqt --center_x 29.079295454545456 --center_y 55.41534090909092 --center_z 35.152477272727275 --size_x 23.57 --size_y 32.628 --size_z 18.545 --out runs/mapk1_lit_pcba_full/poses/native_redocking/4qta/native_redocked.pdbqt --exhaustiveness 8 --num_modes 10 --energy_range 3.0 --cpu 16 --seed 42
4ZZN,unidock,data/processed/receptors/MAPK1/4zzn/native_ligand.pdb,data/processed/receptors/MAPK1/4zzn/native_ligand.pdbqt,data/processed/receptors/MAPK1/4zzn/receptor.pdbqt,runs/mapk1_lit_pcba_full/poses/native_redocking/4zzn/native_redocked.pdbqt,-7.912,2.824755600047551,False,complete,,/home/dimit/eva/Computational-Chemistry/docking_project/.micromamba/envs/unidock_env/bin/unidock --receptor data/processed/receptors/MAPK1/4zzn/receptor.pdbqt --ligand data/processed/receptors/MAPK1/4zzn/native_ligand.pdbqt --center_x -15.58344 --center_y 14.2224 --center_z 42.29559999999999 --size_x 21.551 --size_y 18.399 --size_z 18.762 --out runs/mapk1_lit_pcba_full/poses/native_redocking/4zzn/native_redocked.pdbqt --exhaustiveness 8 --num_modes 10 --energy_range 3.0 --cpu 16 --seed 42
5WP1,unidock,data/processed/receptors/MAPK1/5wp1/native_ligand.pdb,data/processed/receptors/MAPK1/5wp1/native_ligand.pdbqt,data/processed/receptors/MAPK1/5wp1/receptor.pdbqt,runs/mapk1_lit_pcba_full/poses/native_redocking/5wp1/native_redocked.pdbqt,-5.857,9.724216792666091,False,complete,,/home/dimit/eva/Computational-Chemistry/docking_project/.micromamba/envs/unidock_env/bin/unidock --receptor data/processed/receptors/MAPK1/5wp1/receptor.pdbqt --ligand data/processed/receptors/MAPK1/5wp1/native_ligand.pdbqt --center_x -15.331421052631578 --center_y 12.25257894736842 --center_z 41.18331578947369 --size_x 18.0 --size_y 19.366 --size_z 18.0 --out runs/mapk1_lit_pcba_full/poses/native_redocking/5wp1/native_redocked.pdbqt --exhaustiveness 8 --num_modes 10 --energy_range 3.0 --cpu 16 --seed 42
6SLG,unidock,data/processed/receptors/MAPK1/6slg/native_ligand.pdb,data/processed/receptors/MAPK1/6slg/native_ligand.pdbqt,data/processed/receptors/MAPK1/6slg/receptor.pdbqt,runs/mapk1_lit_pcba_full/poses/native_redocking/6slg/native_redocked.pdbqt,-9.114,1.7553777371266848,True,complete,,/home/dimit/eva/Computational-Chemistry/docking_project/.micromamba/envs/unidock_env/bin/unidock --receptor data/processed/receptors/MAPK1/6slg/receptor.pdbqt --ligand data/processed/receptors/MAPK1/6slg/native_ligand.pdbqt --center_x -2.9908055555555557 --center_y 5.786777777777778 --center_z 12.400722222222225 --size_x 25.802 --size_y 19.409 --size_z 21.450000000000003 --out runs/mapk1_lit_pcba_full/poses/native_redocking/6slg/native_redocked.pdbqt --exhaustiveness 8 --num_modes 10 --energy_range 3.0 --cpu 16 --seed 42
8AOJ,unidock,data/processed/receptors/MAPK1/8aoj/native_ligand.pdb,data/processed/receptors/MAPK1/8aoj/native_ligand.pdbqt,data/processed/receptors/MAPK1/8aoj/receptor.pdbqt,runs/mapk1_lit_pcba_full/poses/native_redocking/8aoj/native_redocked.pdbqt,-6.539,5.675151355229383,False,complete,,/home/dimit/eva/Computational-Chemistry/docking_project/.micromamba/envs/unidock_env/bin/unidock --receptor data/processed/receptors/MAPK1/8aoj/receptor.pdbqt --ligand data/processed/receptors/MAPK1/8aoj/native_ligand.pdbqt --center_x 9.141650000000002 --center_y 10.326875 --center_z 43.25829999999999 --size_x 21.889 --size_y 18.0 --size_z 19.107 --out runs/mapk1_lit_pcba_full/poses/native_redocking/8aoj/native_redocked.pdbqt --exhaustiveness 8 --num_modes 10 --energy_range 3.0 --cpu 16 --seed 42
